ticker,n_rows,mean_abs_daily_pct,std_daily_pct,min_close,max_close,last_close
RGTU,252,10.194,9.585,12.26,456.84,19.48
SPHL,420,8.496,34.036,1.98,53.04,2.87
ASST,849,8.158,18.497,7.16,355.0,12.55
RIOX,363,8.107,6.756,10.47,88.08,59.6
SKYQ,426,7.823,11.198,1.14,33.92,2.62
EDHL,296,7.726,12.348,2.18,100.32,4.25
TBH,327,7.245,8.262,1.82,52.88,4.13
ROBN,347,7.113,6.498,8.16,120.49,28.64
MENS,256,7.037,8.778,1.46,65.62,1.73
JLHL,250,6.824,9.599,3.05,44.8,13.25
CUPR,302,6.702,13.115,1.96,75.2,5.75
CRML,581,6.651,7.084,1.37,29.97,9.35
PDC,731,6.601,12.248,1.56,18.0,5.56
ZENA,432,6.573,13.957,1.24,10.3,1.4
NNE,533,6.568,6.649,3.26,56.63,23.16
LHSW,307,6.517,7.953,1.79,68.64,1.93
HTCO,879,6.362,11.208,2.55,103.75,4.24
DTCX,612,6.205,7.776,1.63,15.46,2.12
IOTR,302,6.163,8.612,1.56,41.1,3.0
RZLV,463,6.118,6.573,1.13,10.31,2.62
SERV,547,6.045,9.522,1.82,22.92,6.14
SPAI,456,5.991,6.878,1.63,8.95,4.08
CAMP,425,5.97,7.119,1.35,11.74,4.03
MIMI,364,5.963,9.071,2.49,107.5,2.71
NE-WS-A,415,5.913,6.143,2.84,33.0,17.51
PN,329,5.874,8.5,2.21,82.0,3.71
ARTV,484,5.709,8.167,1.47,15.83,9.31
ALMU,312,5.694,5.674,6.1,31.49,20.99
JFB,327,5.682,6.922,1.71,16.79,4.87
ANNA,376,5.623,7.082,2.31,16.83,2.62
AXG,701,5.588,8.396,1.18,47.0,3.3
WXM,308,5.579,7.167,3.8,42.9,4.76
TSSI,400,5.536,5.823,6.24,31.1,12.0
DXYZ,562,5.519,7.827,9.63,99.79,25.61
BTDR,800,5.476,5.337,2.93,26.1,17.52
ALOY,1151,5.357,9.226,1.2,25.9,16.67
WFF,312,5.344,6.653,1.05,35.2,2.81
SPPL,688,5.311,11.872,1.8,75.52,3.72
CLSK,1610,5.241,5.727,1.05,40.39,16.23
SUPX,538,5.228,5.858,3.25,75.0,8.32
WYHG,393,5.16,6.482,1.59,42.0,6.56
NE-WS,368,5.144,5.933,11.0,35.57,23.05
ADVB,327,5.118,5.736,3.71,80.0,4.84
PEPG,1036,5.092,7.441,1.0,18.55,1.76
INV,430,5.072,5.024,2.55,13.85,5.2
SGMT,739,5.067,8.008,1.9,18.42,6.92
BULL,301,5.059,21.775,4.63,62.9,6.71
FBYD,674,4.983,6.005,3.64,20.8,17.23
PONY,392,4.891,5.634,4.16,24.06,7.21
AARD,341,4.864,5.253,3.48,17.41,4.98
IMRX,1230,4.839,5.318,1.03,32.84,4.59
PSIG,479,4.835,7.993,2.52,21.6,11.85
PSNYW,1001,4.82,8.737,2.3,77.7,2.3
PSIX,372,4.816,4.53,18.7,115.78,38.44
ZBIO,445,4.786,4.853,6.43,43.17,21.8
LUNR,1034,4.781,10.333,2.11,81.99,19.16
UPST,1385,4.767,5.349,12.1,390.0,32.67
SHMD,537,4.721,4.61,1.98,10.42,5.86
GNLX,855,4.7,5.107,1.62,38.0,2.85
VOYG,260,4.613,3.524,17.99,56.48,30.36
HERE,847,4.611,6.958,1.43,19.0,2.1
ABSI,1236,4.597,4.175,1.15,30.29,10.07
JMIA,1809,4.569,4.617,1.73,65.51,6.33
CLYM,1210,4.546,5.147,1.13,28.61,12.75
FUFU,579,4.532,5.038,1.54,13.13,1.54
TEM,507,4.529,4.22,24.96,103.25,51.91
BNC,1075,4.517,17.229,1.99,57.59,2.69
KYTX,595,4.516,4.236,1.83,30.1,8.62
HIVE,1248,4.467,3.828,1.31,24.3,4.14
WAVE,1250,4.456,7.808,1.04,18.79,9.02
SUIG,888,4.449,8.4,1.14,7.45,1.17
NVOX,384,4.448,4.796,9.28,168.69,15.77
SANA,1352,4.441,5.874,1.34,43.5,3.29
AIRO,258,4.429,4.378,5.85,31.0,7.03
GLXY,276,4.426,3.5,16.84,42.86,28.61
TOYO,495,4.404,6.59,1.55,16.99,7.95
ATLX,866,4.403,5.195,3.4,41.46,3.58
FLNC,1167,4.389,4.401,3.61,37.61,19.74
DJT,1186,4.371,12.073,7.54,97.54,7.54
KC,1539,4.365,4.566,1.9,72.06,9.24
GLSI,1442,4.363,26.523,3.48,72.22,21.44
INTJ,553,4.362,5.155,4.45,66.0,4.45
ANRO,599,4.351,5.819,1.8,27.72,24.91
GCT,965,4.337,7.984,4.27,51.8,33.36
UNCY,1243,4.329,6.131,2.36,58.5,7.89
CELZ,1141,4.326,6.593,1.78,45.4,2.0
LVWR,937,4.31,6.926,1.0,12.29,1.01
SHIM,652,4.281,5.283,1.33,7.47,3.63
CORZZ,604,4.276,4.364,1.23,29.1,27.62
PRME,921,4.275,3.705,1.15,21.12,3.12
LXEO,660,4.271,4.684,1.79,18.76,4.88
RAPP,512,4.27,6.561,7.15,39.99,39.99
IONQ,1372,4.269,4.428,3.1,82.09,53.6
SILO,937,4.263,6.445,4.22,89.1,6.22
RDW,1204,4.255,4.359,1.68,25.9,11.38
ENGN,661,4.245,7.147,1.44,19.0,1.77
WRD,415,4.238,6.113,5.59,40.4,5.59
GLUE,1255,4.228,4.755,2.5,42.21,20.82
NBTX,1270,4.227,7.56,1.98,55.07,33.37
LYEL,1260,4.22,4.176,7.8,359.0,12.99
AVR,381,4.216,4.003,2.47,10.41,10.41
RXRX,1303,4.209,4.117,2.84,41.33,3.25
AEVA,1538,4.207,4.079,2.29,100.0,20.0
HSAI,845,4.204,4.498,3.55,29.8,15.62
FULC,1743,4.202,5.641,2.26,30.97,3.76
REAL,1756,4.186,4.173,1.03,28.9,12.86
NVTS,1359,4.177,6.126,1.6,31.79,18.32
ALMS,498,4.171,6.014,2.8,29.97,24.85
CCCC,1437,4.16,5.757,1.1,50.5,4.25
TKNO,1252,4.154,4.199,1.2,27.98,5.19
ENVX,1372,4.151,4.191,4.84,35.82,5.92
LFMD,1388,4.148,4.41,1.15,30.55,4.5
QS,1469,4.142,5.238,3.47,131.67,7.13
ATOM,2481,4.138,4.375,1.99,46.45,7.41
NB,817,4.119,4.047,1.3,11.67,4.62
DUOT,1587,4.115,4.111,1.85,14.64,11.34
NMAX,309,4.104,5.955,5.16,233.0,7.02
IMNM,1436,4.094,4.695,2.21,43.24,19.77
COIW,337,4.081,3.997,8.47,64.52,8.47
SKYT,1300,4.081,4.56,4.56,39.91,35.05
OLMA,1403,4.078,5.294,2.04,54.5,11.14
